p1,p2,alphaD_true,alphaD_main_pred,rel_abs
4.569999873638153076e-01,4.250000000000000000e+00,1.465801917968099843e+01,1.467203426361083984e+01,9.561376443871196429e-04
5.860000252723693848e-01,4.250000000000000000e+00,1.390154260095999916e+01,1.387890243530273438e+01,1.628608155738149946e-03
7.139999866485595703e-01,4.250000000000000000e+00,1.343769815557200076e+01,1.344251728057861328e+01,3.586272701485151374e-04
8.429999947547912598e-01,4.250000000000000000e+00,1.320469270702200149e+01,1.322133445739746094e+01,1.260290621273578654e-03
9.710000157356262207e-01,4.250000000000000000e+00,1.312986945683299922e+01,1.315116500854492188e+01,1.621916484542053121e-03
1.100000023841857910e+00,4.250000000000000000e+00,1.317613339844900011e+01,1.314166259765625000e+01,2.616154508333056513e-03
1.228999972343444824e+00,4.250000000000000000e+00,1.331878233759299945e+01,1.330555343627929688e+01,9.932515584674189105e-04
1.356999993324279785e+00,4.250000000000000000e+00,1.352371163533700127e+01,1.352337646484375000e+01,2.478391304761924419e-05
1.485999941825866699e+00,4.250000000000000000e+00,1.378139178066600046e+01,1.378473186492919922e+01,2.423618975758737532e-04
1.613999962806701660e+00,4.250000000000000000e+00,1.408410140788700105e+01,1.408223533630371094e+01,1.324948982719707043e-04
1.743000030517578125e+00,4.250000000000000000e+00,1.441121780499699945e+01,1.442170333862304688e+01,7.275952503064407649e-04
1.871000051498413086e+00,4.250000000000000000e+00,1.475928807295699841e+01,1.479517650604248047e+01,2.431582940049755327e-03
2.000000000000000000e+00,4.250000000000000000e+00,1.511646737037900046e+01,1.520247077941894531e+01,5.689385418743412269e-03
2.000000029802322388e-01,4.500000000000000000e+00,1.939794231421299742e+01,1.821883201599121094e+01,6.078532862518334218e-02
3.289999961853027344e-01,4.500000000000000000e+00,1.668459442501699996e+01,1.744858741760253906e+01,4.579032448280567769e-02
4.569999873638153076e-01,4.500000000000000000e+00,1.505248217123699916e+01,1.506500053405761719e+01,8.316477427582480561e-04
5.860000252723693848e-01,4.500000000000000000e+00,1.405076430204999838e+01,1.399847984313964844e+01,3.721111377743463282e-03
7.139999866485595703e-01,4.500000000000000000e+00,1.343561002882000111e+01,1.341579151153564453e+01,1.475073870248164686e-03
8.429999947547912598e-01,4.500000000000000000e+00,1.309074192934200020e+01,1.309883213043212891e+01,6.180093637011566327e-04
9.710000157356262207e-01,4.500000000000000000e+00,1.294225571432799882e+01,1.295978641510009766e+01,1.354532096958268759e-03
1.100000023841857910e+00,4.500000000000000000e+00,1.293176173397199946e+01,1.286512851715087891e+01,5.152678976915708864e-03
1.228999972343444824e+00,4.500000000000000000e+00,1.303730846150000033e+01,1.300767230987548828e+01,2.273180212927345539e-03
1.356999993324279785e+00,4.500000000000000000e+00,1.321147715123100141e+01,1.320409488677978516e+01,5.587766126915190250e-04
1.485999941825866699e+00,4.500000000000000000e+00,1.345990127210500020e+01,1.345664310455322266e+01,2.420647437087776184e-04
1.613999962806701660e+00,4.500000000000000000e+00,1.374483828597599988e+01,1.374346256256103516e+01,1.000901855912258580e-04
1.743000030517578125e+00,4.500000000000000000e+00,1.406328616880000126e+01,1.407463932037353516e+01,8.072900911823398945e-04
1.871000051498413086e+00,4.500000000000000000e+00,1.440078831520400016e+01,1.444504833221435547e+01,3.073444039422943905e-03
2.000000000000000000e+00,4.500000000000000000e+00,1.476042695608899891e+01,1.485560703277587891e+01,6.448328152704020134e-03
