model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,fit region,67,1.0,0.286,0.0008762090001255274,0.8762090001255274,0.0527270088981675,0.0527270088981675,0.054962658584898745,0.0031928252189209255
EM1,8,0.9,fit region,68,1.143,0.286,0.0008555420008633519,0.8555420008633519,0.05149546332338456,0.05149546332338456,0.05332377662477569,0.0025686245676857385
EM1,8,0.9,fit region,69,1.286,0.286,0.0008699580012034858,0.8699580012034858,0.047855106998607774,0.047855106998607774,0.04981054926475484,0.0009029638442992316
EM1,8,0.9,fit region,70,1.429,0.286,0.0008630409993202193,0.8630409993202193,0.04286817581968557,0.04286817581968557,0.046245012219793664,0.005833134072294579
EM1,8,0.9,fit region,71,1.571,0.286,0.0009136659991781926,0.9136659991781926,0.04182218671882047,0.04182218671882047,0.0373565301936073,0.00820398791864969
EM1,8,0.9,fit region,72,1.714,0.286,0.0008589160006522434,0.8589160006522434,0.0499028015111825,0.0499028015111825,0.04849193313152675,0.001497284868361247
EM1,8,0.9,test/extrapolation region,73,1.857,0.286,0.0008734580005693715,0.8734580005693715,0.06861246785437562,0.06861246785437562,0.06862698801474414,0.02324827980704363
EM1,8,0.9,test/extrapolation region,74,2.0,0.286,0.0008810830004222225,0.8810830004222225,0.13501691244712405,0.13501691244712405,0.18322581512811736,0.07818848318835234
EM1,8,0.9,test/extrapolation region,75,0.0,0.357,0.0008495000001857989,0.8495000001857989,0.06343306127994014,0.06343306127994014,0.06132673305665349,0.004550551250822434
EM1,8,0.9,test/extrapolation region,76,0.143,0.357,0.000857999999425374,0.857999999425374,0.056474328568214376,0.056474328568214376,0.05502384218236525,0.0006055658255082808
EM1,8,0.9,fit region,77,0.286,0.357,0.0008479579992126673,0.8479579992126673,0.05300444878227815,0.05300444878227815,0.0495313900568923,0.002467262551806277
EM1,8,0.9,fit region,78,0.429,0.357,0.0009442079990549246,0.9442079990549246,0.05234918904890022,0.05234918904890022,0.044882442783782485,0.004049924065078023
EM1,8,0.9,fit region,79,0.571,0.357,0.0008790830015641404,0.8790830015641404,0.05346629058767208,0.05346629058767208,0.047550758128848944,0.0038498298560622896
EM1,8,0.9,fit region,80,0.714,0.357,0.0008878750013536774,0.8878750013536774,0.05538783364356651,0.05538783364356651,0.05519651197294786,0.0020874712071476337
EM1,8,0.9,fit region,81,0.857,0.357,0.0008848750003380701,0.8848750003380701,0.05717133889846277,0.05717133889846277,0.06066017379294393,0.00034491922616291566
EM1,8,0.9,fit region,82,1.0,0.357,0.0009467919990129303,0.9467919990129303,0.056903194298593286,0.056903194298593286,0.064274367990024,0.0019777966327514155
EM1,8,0.9,fit region,83,1.143,0.357,0.0009610409997549141,0.9610409997549141,0.05495833385336745,0.05495833385336745,0.06373729452156845,0.0013539991123660306
EM1,8,0.9,fit region,84,1.286,0.357,0.0009859169986157212,0.9859169986157212,0.052467194559553385,0.052467194559553385,0.05737017878760348,0.0019424285708410298
EM1,8,0.9,fit region,85,1.429,0.357,0.0010259999999107094,1.0259999999107094,0.047145593951116116,0.047145593951116116,0.05173182334466536,0.006226974118992981
EM1,8,0.9,fit region,86,1.571,0.357,0.0009804999990592478,0.9804999990592478,0.05165220313909982,0.05165220313909982,0.04319617058053751,0.00725528098351327
EM1,8,0.9,fit region,87,1.714,0.357,0.0011562089985091006,1.1562089985091006,0.05362446795960503,0.05362446795960503,0.05563026090071194,0.0015889866676031257
